temperature	genotype	region	eggs	hatched	survival
32	VTECK_14	temperate	20	19	0.95
32	VTECK_14	temperate	20	20	1
34	VTECK_14	temperate	22	22	1
34	VTECK_14	temperate	20	17	0.85
34	VTECK_14	temperate	20	19	0.95
34	VTECK_14	temperate	20	20	1
34	VTECK_14	temperate	20	15	0.75
36	VTECK_14	temperate	20	0	0
36	VTECK_14	temperate	20	2	0.1
36	VTECK_14	temperate	20	0	0
36	VTECK_14	temperate	20	2	0.1
36	VTECK_14	temperate	20	0	0
38	VTECK_14	temperate	20	3	0.15
38	VTECK_14	temperate	20	3	0.15
38	VTECK_14	temperate	20	1	0.05
38	VTECK_14	temperate	20	1	0.05
38	VTECK_14	temperate	20	0	0
40	VTECK_14	temperate	11	0	0
40	VTECK_14	temperate	20	4	0.2
40	VTECK_14	temperate	21	1	0.047619048
40	VTECK_14	temperate	12	0	0
40	VTECK_14	temperate	20	0	0
28	VTECK_2	temperate	16	15	0.9375
28	VTECK_2	temperate	15	15	1
28	VTECK_2	temperate	20	20	1
28	VTECK_2	temperate	20	19	0.95
28	VTECK_2	temperate	20	18	0.9
30	VTECK_2	temperate	20	20	1
30	VTECK_2	temperate	15	12	0.8
30	VTECK_2	temperate	11	10	0.909090909
30	VTECK_2	temperate	20	19	0.95
30	VTECK_2	temperate	20	20	1
32	VTECK_2	temperate	20	19	0.95
32	VTECK_2	temperate	20	18	0.9
32	VTECK_2	temperate	20	20	1
32	VTECK_2	temperate	20	20	1
32	VTECK_2	temperate	20	20	1
34	VTECK_2	temperate	20	18	0.9
34	VTECK_2	temperate	20	18	0.9
34	VTECK_2	temperate	20	20	1
34	VTECK_2	temperate	20	20	1
34	VTECK_2	temperate	20	18	0.9
36	VTECK_2	temperate	20	2	0.1
36	VTECK_2	temperate	19	0	0
36	VTECK_2	temperate	19	1	0.052631579
36	VTECK_2	temperate	20	0	0
36	VTECK_2	temperate	11	1	0.090909091
38	VTECK_2	temperate	16	2	0.125
38	VTECK_2	temperate	11	0	0
38	VTECK_2	temperate	20	3	0.15
38	VTECK_2	temperate	10	2	0.2
38	VTECK_2	temperate	15	0	0
40	VTECK_2	temperate	11	0	0
40	VTECK_2	temperate	10	1	0.1
40	VTECK_2	temperate	12	0	0
40	VTECK_2	temperate	12	2	0.166666667
40	VTECK_2	temperate	12	2	0.166666667
32	VTECK_4	temperate	20	19	0.95
32	VTECK_4	temperate	20	20	1
32	VTECK_4	temperate	20	18	0.9
32	VTECK_4	temperate	20	20	1
32	VTECK_4	temperate	20	19	0.95
34	VTECK_4	temperate	20	18	0.9
34	VTECK_4	temperate	20	17	0.85
34	VTECK_4	temperate	20	19	0.95
34	VTECK_4	temperate	20	16	0.8
34	VTECK_4	temperate	20	20	1
36	VTECK_4	temperate	20	1	0.05
36	VTECK_4	temperate	20	4	0.2
36	VTECK_4	temperate	20	2	0.1
36	VTECK_4	temperate	20	0	0
36	VTECK_4	temperate	20	0	0
38	VTECK_4	temperate	20	0	0
38	VTECK_4	temperate	20	0	0
38	VTECK_4	temperate	20	2	0.1
38	VTECK_4	temperate	20	0	0
38	VTECK_4	temperate	20	0	0
28	VTECK_5	temperate	10	10	1
28	VTECK_5	temperate	20	16	0.8
28	VTECK_5	temperate	19	15	0.789473684
28	VTECK_5	temperate	14	14	1
28	VTECK_5	temperate	18	14	0.777777778
30	VTECK_5	temperate	20	17	0.85
30	VTECK_5	temperate	20	19	0.95
30	VTECK_5	temperate	20	15	0.75
30	VTECK_5	temperate	20	17	0.85
30	VTECK_5	temperate	20	18	0.9
32	VTECK_5	temperate	20	17	0.85
32	VTECK_5	temperate	20	17	0.85
32	VTECK_5	temperate	12	11	0.916666667
32	VTECK_5	temperate	12	9	0.75
32	VTECK_5	temperate	20	14	0.7
34	VTECK_5	temperate	20	10	0.5
34	VTECK_5	temperate	20	16	0.8
34	VTECK_5	temperate	20	13	0.65
34	VTECK_5	temperate	20	14	0.7
34	VTECK_5	temperate	15	10	0.666666667
36	VTECK_5	temperate	20	2	0.1
36	VTECK_5	temperate	20	1	0.05
36	VTECK_5	temperate	20	3	0.15
36	VTECK_5	temperate	20	3	0.15
36	VTECK_5	temperate	20	0	0
38	VTECK_5	temperate	11	3	0.272727273
38	VTECK_5	temperate	20	1	0.05
38	VTECK_5	temperate	20	1	0.05
38	VTECK_5	temperate	12	0	0
38	VTECK_5	temperate	20	2	0.1
40	VTECK_5	temperate	20	0	0
40	VTECK_5	temperate	20	0	0
40	VTECK_5	temperate	20	0	0
40	VTECK_5	temperate	20	0	0
40	VTECK_5	temperate	14	0	0
32	VTECK_8	temperate	20	16	0.8
32	VTECK_8	temperate	20	18	0.9
32	VTECK_8	temperate	20	17	0.85
32	VTECK_8	temperate	20	13	0.65
32	VTECK_8	temperate	20	15	0.75
34	VTECK_8	temperate	20	11	0.55
34	VTECK_8	temperate	20	12	0.6
34	VTECK_8	temperate	20	15	0.75
34	VTECK_8	temperate	20	13	0.65
34	VTECK_8	temperate	20	16	0.8
36	VTECK_8	temperate	20	0	0
36	VTECK_8	temperate	20	0	0
36	VTECK_8	temperate	20	1	0.05
36	VTECK_8	temperate	20	3	0.15
36	VTECK_8	temperate	20	2	0.1
38	VTECK_8	temperate	20	0	0
38	VTECK_8	temperate	20	1	0.05
38	VTECK_8	temperate	20	3	0.15
38	VTECK_8	temperate	20	1	0.05
38	VTECK_8	temperate	20	0	0
28	VTECK_9	temperate	11	10	0.909090909
28	VTECK_9	temperate	20	20	1
28	VTECK_9	temperate	20	18	0.9
28	VTECK_9	temperate	20	19	0.95
28	VTECK_9	temperate	20	20	1
30	VTECK_9	temperate	20	19	0.95
30	VTECK_9	temperate	20	20	1
30	VTECK_9	temperate	20	20	1
30	VTECK_9	temperate	20	18	0.9
30	VTECK_9	temperate	20	20	1
32	VTECK_9	temperate	20	20	1
32	VTECK_9	temperate	20	19	0.95
32	VTECK_9	temperate	20	19	0.95
32	VTECK_9	temperate	8	7	0.875
32	VTECK_9	temperate	20	20	1
32	VTECK_9	temperate	20	18	0.9
34	VTECK_9	temperate	7	7	1
34	VTECK_9	temperate	20	20	1
34	VTECK_9	temperate	20	19	0.95
34	VTECK_9	temperate	20	16	0.8
34	VTECK_9	temperate	20	17	0.85
36	VTECK_9	temperate	9	2	0.222222222
36	VTECK_9	temperate	12	1	0.083333333
36	VTECK_9	temperate	20	4	0.2
36	VTECK_9	temperate	20	1	0.05
36	VTECK_9	temperate	20	2	0.1
38	VTECK_9	temperate	20	5	0.25
38	VTECK_9	temperate	20	4	0.2
38	VTECK_9	temperate	20	0	0
38	VTECK_9	temperate	20	1	0.05
38	VTECK_9	temperate	20	2	0.1
40	VTECK_9	temperate	8	0	0
40	VTECK_9	temperate	16	0	0
40	VTECK_9	temperate	20	0	0
40	VTECK_9	temperate	20	0	0
40	VTECK_9	temperate	20	0	0
28	BEA_16	temperate	20	18	0.9
28	BEA_16	temperate	20	18	0.9
28	BEA_16	temperate	12	11	0.916666667
28	BEA_16	temperate	20	17	0.85
28	BEA_16	temperate	20	15	0.75
30	BEA_16	temperate	15	14	0.933333333
30	BEA_16	temperate	7	5	0.714285714
30	BEA_16	temperate	14	13	0.928571429
30	BEA_16	temperate	9	5	0.555555556
30	BEA_16	temperate	20	11	0.55
32	BEA_16	temperate	9	9	1
32	BEA_16	temperate	20	15	0.75
32	BEA_16	temperate	15	6	0.4
32	BEA_16	temperate	11	7	0.636363636
32	BEA_16	temperate	10	7	0.7
32	BEA_16	temperate	15	15	1
34	BEA_16	temperate	8	8	1
34	BEA_16	temperate	14	7	0.5
34	BEA_16	temperate	12	6	0.5
34	BEA_16	temperate	15	12	0.8
34	BEA_16	temperate	20	18	0.9
36	BEA_16	temperate	20	3	0.15
36	BEA_16	temperate	12	2	0.166666667
36	BEA_16	temperate	20	2	0.1
36	BEA_16	temperate	15	1	0.066666667
36	BEA_16	temperate	17	2	0.117647059
36	BEA_16	temperate	8	0	0
38	BEA_16	temperate	15	1	0.066666667
38	BEA_16	temperate	13	0	0
38	BEA_16	temperate	20	4	0.2
38	BEA_16	temperate	10	1	0.1
38	BEA_16	temperate	9	0	0
40	BEA_16	temperate	20	0	0
40	BEA_16	temperate	20	0	0
40	BEA_16	temperate	14	0	0
40	BEA_16	temperate	12	1	0.083333333
40	BEA_16	temperate	11	2	0.181818182
28	BEA_21	temperate	20	20	1
28	BEA_21	temperate	17	14	0.823529412
28	BEA_21	temperate	20	19	0.95
28	BEA_21	temperate	20	19	0.95
28	BEA_21	temperate	20	17	0.85
30	BEA_21	temperate	14	13	0.928571429
30	BEA_21	temperate	20	19	0.95
30	BEA_21	temperate	20	18	0.9
30	BEA_21	temperate	20	19	0.95
30	BEA_21	temperate	20	17	0.85
32	BEA_21	temperate	20	18	0.9
32	BEA_21	temperate	20	19	0.95
32	BEA_21	temperate	20	19	0.95
32	BEA_21	temperate	20	16	0.8
32	BEA_21	temperate	20	18	0.9
34	BEA_21	temperate	16	12	0.75
34	BEA_21	temperate	18	15	0.833333333
34	BEA_21	temperate	20	12	0.6
34	BEA_21	temperate	20	14	0.7
34	BEA_21	temperate	20	17	0.85
36	BEA_21	temperate	20	3	0.15
36	BEA_21	temperate	19	0	0
36	BEA_21	temperate	20	2	0.1
36	BEA_21	temperate	11	4	0.363636364
36	BEA_21	temperate	20	2	0.1
38	BEA_21	temperate	11	2	0.181818182
38	BEA_21	temperate	18	0	0
38	BEA_21	temperate	14	0	0
38	BEA_21	temperate	14	0	0
38	BEA_21	temperate	14	0	0
40	BEA_21	temperate	20	1	0.05
40	BEA_21	temperate	20	1	0.05
40	BEA_21	temperate	20	0	0
40	BEA_21	temperate	20	0	0
40	BEA_21	temperate	20	1	0.05
32	BEA_32	temperate	20	16	0.8
32	BEA_32	temperate	20	14	0.7
32	BEA_32	temperate	20	16	0.8
32	BEA_32	temperate	20	17	0.85
32	BEA_32	temperate	20	15	0.75
34	BEA_32	temperate	20	18	0.9
34	BEA_32	temperate	20	15	0.75
34	BEA_32	temperate	20	14	0.7
34	BEA_32	temperate	20	12	0.6
34	BEA_32	temperate	20	18	0.9
36	BEA_32	temperate	20	4	0.2
36	BEA_32	temperate	20	2	0.1
36	BEA_32	temperate	20	0	0
36	BEA_32	temperate	20	0	0
36	BEA_32	temperate	20	1	0.05
38	BEA_32	temperate	20	0	0
38	BEA_32	temperate	20	20	1
38	BEA_32	temperate	20	0	0
38	BEA_32	temperate	20	0	0
38	BEA_32	temperate	20	2	0.1
28	BEA_36	temperate	20	18	0.9
28	BEA_36	temperate	20	15	0.75
28	BEA_36	temperate	20	15	0.75
28	BEA_36	temperate	20	16	0.8
28	BEA_36	temperate	20	15	0.75
28	BEA_36	temperate	20	12	0.6
28	BEA_36	temperate	20	11	0.55
28	BEA_36	temperate	20	15	0.75
28	BEA_36	temperate	20	15	0.75
28	BEA_36	temperate	20	15	0.75
30	BEA_36	temperate	20	11	0.55
30	BEA_36	temperate	20	14	0.7
30	BEA_36	temperate	20	15	0.75
30	BEA_36	temperate	20	14	0.7
30	BEA_36	temperate	20	16	0.8
32	BEA_36	temperate	20	13	0.65
32	BEA_36	temperate	20	14	0.7
32	BEA_36	temperate	13	11	0.846153846
32	BEA_36	temperate	14	9	0.642857143
32	BEA_36	temperate	20	18	0.9
32	BEA_36	temperate	20	15	0.75
32	BEA_36	temperate	20	16	0.8
32	BEA_36	temperate	20	15	0.75
32	BEA_36	temperate	20	17	0.85
32	BEA_36	temperate	20	14	0.7
34	BEA_36	temperate	20	16	0.8
34	BEA_36	temperate	20	17	0.85
34	BEA_36	temperate	11	5	0.454545455
34	BEA_36	temperate	20	18	0.9
34	BEA_36	temperate	20	13	0.65
34	BEA_36	temperate	20	16	0.8
34	BEA_36	temperate	20	13	0.65
34	BEA_36	temperate	20	11	0.55
34	BEA_36	temperate	15	11	0.733333333
34	BEA_36	temperate	20	18	0.9
36	BEA_36	temperate	20	4	0.2
36	BEA_36	temperate	12	1	0.083333333
36	BEA_36	temperate	12	0	0
36	BEA_36	temperate	11	0	0
36	BEA_36	temperate	20	3	0.15
36	BEA_36	temperate	20	2	0.1
36	BEA_36	temperate	20	4	0.2
36	BEA_36	temperate	20	1	0.05
36	BEA_36	temperate	20	0	0
36	BEA_36	temperate	20	1	0.05
38	BEA_36	temperate	20	3	0.15
38	BEA_36	temperate	20	3	0.15
38	BEA_36	temperate	20	0	0
38	BEA_36	temperate	20	4	0.2
38	BEA_36	temperate	20	5	0.25
38	BEA_36	temperate	20	1	0.05
38	BEA_36	temperate	20	2	0.1
38	BEA_36	temperate	20	2	0.1
38	BEA_36	temperate	20	0	0
38	BEA_36	temperate	20	0	0
40	BEA_36	temperate	20	6	0.3
40	BEA_36	temperate	20	1	0.05
40	BEA_36	temperate	20	1	0.05
40	BEA_36	temperate	15	3	0.2
40	BEA_36	temperate	20	2	0.1
40	BEA_36	temperate	20	0	0
40	BEA_36	temperate	20	0	0
40	BEA_36	temperate	20	0	0
40	BEA_36	temperate	20	2	0.1
40	BEA_36	temperate	20	0	0
30	BEA_36	temperate	20	14	0.7
30	BEA_36	temperate	20	20	1
30	BEA_36	temperate	20	15	0.75
30	BEA_36	temperate	20	12	0.6
30	BEA_36	temperate	20	16	0.8
32	BEA_5	temperate	20	19	0.95
32	BEA_5	temperate	20	15	0.75
32	BEA_5	temperate	20	20	1
32	BEA_5	temperate	20	18	0.9
32	BEA_5	temperate	20	17	0.85
34	BEA_5	temperate	20	18	0.9
34	BEA_5	temperate	20	20	1
34	BEA_5	temperate	20	13	0.65
34	BEA_5	temperate	21	19	0.904761905
34	BEA_5	temperate	20	16	0.8
36	BEA_5	temperate	20	3	0.15
36	BEA_5	temperate	15	3	0.2
36	BEA_5	temperate	20	1	0.05
36	BEA_5	temperate	20	0	0
36	BEA_5	temperate	20	0	0
38	BEA_5	temperate	20	0	0
38	BEA_5	temperate	20	2	0.1
38	BEA_5	temperate	20	1	0.05
38	BEA_5	temperate	20	0	0
38	BEA_5	temperate	20	2	0.1
28	RFM_16	temperate	10	10	1
30	RFM_16	temperate	9	6	0.666666667
30	RFM_16	temperate	10	9	0.9
32	RFM_16	temperate	11	9	0.818181818
32	RFM_16	temperate	20	20	1
32	RFM_16	temperate	20	8	0.4
32	RFM_16	temperate	20	11	0.55
32	RFM_16	temperate	20	13	0.65
32	RFM_16	temperate	20	12	0.6
32	RFM_16	temperate	12	11	0.916666667
32	RFM_16	temperate	20	17	0.85
32	RFM_16	temperate	20	19	0.95
34	RFM_16	temperate	7	3	0.428571429
34	RFM_16	temperate	10	1	0.1
34	RFM_16	temperate	9	3	0.333333333
34	RFM_16	temperate	20	6	0.3
34	RFM_16	temperate	20	6	0.3
34	RFM_16	temperate	20	6	0.3
34	RFM_16	temperate	20	13	0.65
34	RFM_16	temperate	18	9	0.5
34	RFM_16	temperate	20	10	0.5
34	RFM_16	temperate	20	10	0.5
34	RFM_16	temperate	20	14	0.7
36	RFM_16	temperate	20	4	0.2
36	RFM_16	temperate	20	4	0.2
36	RFM_16	temperate	20	2	0.1
36	RFM_16	temperate	20	6	0.3
36	RFM_16	temperate	20	0	0
36	RFM_16	temperate	20	2	0.1
36	RFM_16	temperate	20	2	0.1
36	RFM_16	temperate	20	1	0.05
36	RFM_16	temperate	20	2	0.1
38	RFM_16	temperate	20	1	0.05
38	RFM_16	temperate	20	0	0
38	RFM_16	temperate	20	6	0.3
38	RFM_16	temperate	20	0	0
38	RFM_16	temperate	20	0	0
38	RFM_16	temperate	10	2	0.2
38	RFM_16	temperate	20	1	0.05
40	RFM_16	temperate	14	1	0.071428571
40	RFM_16	temperate	12	1	0.083333333
28	RFM_19	temperate	20	17	0.85
28	RFM_19	temperate	20	20	1
28	RFM_19	temperate	20	11	0.55
28	RFM_19	temperate	20	19	0.95
28	RFM_19	temperate	20	18	0.9
30	RFM_19	temperate	20	16	0.8
30	RFM_19	temperate	16	14	0.875
30	RFM_19	temperate	20	16	0.8
30	RFM_19	temperate	20	19	0.95
30	RFM_19	temperate	20	15	0.75
32	RFM_19	temperate	20	19	0.95
32	RFM_19	temperate	20	19	0.95
32	RFM_19	temperate	20	19	0.95
32	RFM_19	temperate	20	18	0.9
32	RFM_19	temperate	20	17	0.85
34	RFM_19	temperate	20	12	0.6
34	RFM_19	temperate	20	14	0.7
34	RFM_19	temperate	20	14	0.7
34	RFM_19	temperate	20	11	0.55
34	RFM_19	temperate	20	17	0.85
36	RFM_19	temperate	19	4	0.210526316
36	RFM_19	temperate	20	0	0
36	RFM_19	temperate	20	1	0.05
36	RFM_19	temperate	20	0	0
36	RFM_19	temperate	20	0	0
38	RFM_19	temperate	20	4	0.2
38	RFM_19	temperate	20	2	0.1
38	RFM_19	temperate	20	2	0.1
38	RFM_19	temperate	20	0	0
38	RFM_19	temperate	20	0	0
40	RFM_19	temperate	17	1	0.058823529
40	RFM_19	temperate	13	0	0
40	RFM_19	temperate	20	0	0
40	RFM_19	temperate	19	2	0.105263158
40	RFM_19	temperate	14	0	0
32	RFM_34	temperate	20	15	0.75
32	RFM_34	temperate	20	17	0.85
32	RFM_34	temperate	20	20	1
32	RFM_34	temperate	20	16	0.8
32	RFM_34	temperate	20	19	0.95
34	RFM_34	temperate	16	12	0.75
34	RFM_34	temperate	20	18	0.9
34	RFM_34	temperate	20	19	0.95
34	RFM_34	temperate	20	15	0.75
36	RFM_34	temperate	20	2	0.1
36	RFM_34	temperate	13	0	0
36	RFM_34	temperate	20	0	0
36	RFM_34	temperate	20	0	0
38	RFM_34	temperate	20	8	0.4
38	RFM_34	temperate	20	3	0.15
38	RFM_34	temperate	20	0	0
32	RFM_4	temperate	20	14	0.7
32	RFM_4	temperate	20	10	0.5
32	RFM_4	temperate	20	9	0.45
32	RFM_4	temperate	20	8	0.4
32	RFM_4	temperate	20	10	0.5
32	RFM_4	temperate	20	20	1
32	RFM_4	temperate	20	18	0.9
32	RFM_4	temperate	20	17	0.85
32	RFM_4	temperate	20	17	0.85
32	RFM_4	temperate	20	20	1
34	RFM_4	temperate	20	8	0.4
34	RFM_4	temperate	20	7	0.35
34	RFM_4	temperate	20	12	0.6
34	RFM_4	temperate	20	9	0.45
34	RFM_4	temperate	20	11	0.55
