Genotype,Shock_Date,Temperature,Eggs,Hatched_24,Hatched_48,region,survival
CH,NA,40,20,NA,3,tropical,0.15
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
GH,NA,20,20,NA,18,tropical,0.9
GH,NA,20,20,NA,14,tropical,0.7
GH,NA,20,20,NA,12,tropical,0.6
GH,NA,20,20,NA,14,tropical,0.7
GH,NA,20,20,NA,15,tropical,0.75
GH,NA,30,20,NA,14,tropical,0.7
GH,NA,30,20,NA,12,tropical,0.6
GH,NA,33,20,NA,16,tropical,0.8
GH,NA,33,20,NA,16,tropical,0.8
GH,NA,33,20,NA,15,tropical,0.75
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,34,20,NA,14,tropical,0.7
GH,NA,34,20,NA,10,tropical,0.5
GH,NA,34,20,NA,11,tropical,0.55
GH,NA,34,20,NA,9,tropical,0.45
GH,NA,35,20,NA,12,tropical,0.6
GH,NA,35,20,NA,11,tropical,0.55
GH,NA,35,20,NA,10,tropical,0.5
GH,NA,35,20,NA,13,tropical,0.65
GH,NA,35,20,NA,15,tropical,0.75
GH,NA,36,20,NA,0,tropical,0
GH,NA,36,20,NA,1,tropical,0.05
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,7,tropical,0.35
GH,NA,36,20,NA,9,tropical,0.45
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,7,tropical,0.35
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,3,tropical,0.15
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,0,tropical,0
GH,NA,40,20,NA,0,tropical,0
GH,NA,40,20,NA,2,tropical,0.1
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
MU,NA,20,20,NA,19,tropical,0.95
MU,NA,20,20,NA,20,tropical,1
MU,NA,20,20,NA,20,tropical,1
MU,NA,20,20,NA,16,tropical,0.8
MU,NA,20,20,NA,20,tropical,1
MU,NA,30,20,NA,15,tropical,0.75
MU,NA,30,20,NA,15,tropical,0.75
MU,NA,30,20,NA,13,tropical,0.65
MU,NA,30,20,NA,16,tropical,0.8
MU,NA,30,20,NA,14,tropical,0.7
MU,NA,33,20,NA,19,tropical,0.95
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,17,tropical,0.85
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,16,tropical,0.8
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,36,20,NA,0,tropical,0
MU,NA,36,20,NA,2,tropical,0.1
MU,NA,36,20,NA,9,tropical,0.45
MU,NA,36,20,NA,8,tropical,0.4
MU,NA,36,20,NA,10,tropical,0.5
MU,NA,36,20,NA,10,tropical,0.5
MU,NA,36,20,NA,8,tropical,0.4
MU,NA,36,20,NA,11,tropical,0.55
MU,NA,38,20,NA,5,tropical,0.25
MU,NA,38,20,NA,2,tropical,0.1
MU,NA,38,20,NA,1,tropical,0.05
MU,NA,38,20,NA,1,tropical,0.05
MU,NA,38,20,NA,2,tropical,0.1
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,40,20,NA,6,tropical,0.3
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,20,tropical,1
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,18,tropical,0.9
SK,NA,25,20,NA,14,tropical,0.7
SK,NA,25,20,NA,15,tropical,0.75
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,18,tropical,0.9
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,20,tropical,1
SK,NA,25,20,NA,19,tropical,0.95
SK,NA,30,20,NA,14,tropical,0.7
SK,NA,30,20,NA,14,tropical,0.7
SK,NA,30,20,NA,18,tropical,0.9
SK,NA,30,20,NA,20,tropical,1
SK,NA,30,20,NA,18,tropical,0.9
SK,NA,30,17,NA,16,tropical,0.941176471
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,17,tropical,0.85
SK,NA,33,20,NA,16,tropical,0.8
SK,NA,33,20,NA,16,tropical,0.8
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,14,tropical,0.7
SK,NA,33,20,NA,20,tropical,1
SK,NA,33,20,NA,19,tropical,0.95
SK,NA,34,20,NA,18,tropical,0.9
SK,NA,34,20,NA,18,tropical,0.9
SK,NA,34,20,NA,17,tropical,0.85
SK,NA,35,20,NA,8,tropical,0.4
SK,NA,35,20,NA,9,tropical,0.45
SK,NA,35,20,NA,11,tropical,0.55
SK,NA,35,20,NA,10,tropical,0.5
SK,NA,35,20,NA,12,tropical,0.6
SK,NA,35,20,NA,10,tropical,0.5
SK,NA,35,20,NA,11,tropical,0.55
SK,NA,35,20,NA,13,tropical,0.65
SK,NA,36,20,NA,2,tropical,0.1
SK,NA,36,20,NA,0,tropical,0
SK,NA,36,20,NA,0,tropical,0
SK,NA,36,20,NA,13,tropical,0.65
SK,NA,36,20,NA,8,tropical,0.4
SK,NA,36,20,NA,12,tropical,0.6
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,0,tropical,0
SK,NA,38,20,NA,1,tropical,0.05
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,0,tropical,0
SK,NA,40,20,NA,4,tropical,0.2
SK,NA,40,20,NA,2,tropical,0.1
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
GU,NA,33,20,NA,17,tropical,0.85
GU,NA,33,20,NA,17,tropical,0.85
GU,NA,33,20,NA,18,tropical,0.9
GU,NA,33,20,NA,10,tropical,0.5
GU,NA,35,20,NA,9,tropical,0.45
GU,NA,35,20,NA,15,tropical,0.75
GU,NA,35,20,NA,14,tropical,0.7
GU,NA,36,20,NA,3,tropical,0.15
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,2,tropical,0.1
GU,NA,38,20,NA,2,tropical,0.1
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,20,tropical,1
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
VTECK_10,NA,28,20,NA,18,temperate,0.9
VTECK_10,NA,28,20,NA,18,temperate,0.9
VTECK_10,NA,28,19,NA,17,temperate,0.894736842
VTECK_10,NA,28,20,NA,20,temperate,1
VTECK_10,NA,28,18,NA,18,temperate,1
VTECK_10,NA,30,20,NA,18,temperate,0.9
VTECK_10,NA,30,20,NA,18,temperate,0.9
VTECK_10,NA,30,20,NA,19,temperate,0.95
VTECK_10,NA,30,20,NA,19,temperate,0.95
VTECK_10,NA,30,16,NA,16,temperate,1
VTECK_10,NA,32,20,NA,19,temperate,0.95
VTECK_10,NA,32,19,NA,15,temperate,0.789473684
VTECK_10,NA,32,12,NA,11,temperate,0.916666667
VTECK_10,NA,32,20,NA,17,temperate,0.85
VTECK_10,NA,32,10,NA,10,temperate,1
VTECK_10,NA,34,17,NA,6,temperate,0.352941176
VTECK_10,NA,34,20,NA,18,temperate,0.9
VTECK_10,NA,34,7,NA,4,temperate,0.571428571
VTECK_10,NA,34,7,NA,3,temperate,0.428571429
VTECK_10,NA,34,20,NA,11,temperate,0.55
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,19,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,38,15,NA,1,temperate,0.066666667
VTECK_10,NA,38,18,NA,0,temperate,0
VTECK_10,NA,38,12,NA,1,temperate,0.083333333
VTECK_10,NA,38,10,NA,1,temperate,0.1
VTECK_10,NA,38,14,NA,2,temperate,0.142857143
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_12,NA,32,20,NA,17,temperate,0.85
VTECK_12,NA,32,20,NA,18,temperate,0.9
VTECK_12,NA,32,20,NA,17,temperate,0.85
VTECK_12,NA,32,20,NA,18,temperate,0.9
VTECK_12,NA,32,20,NA,19,temperate,0.95
VTECK_12,NA,34,20,NA,12,temperate,0.6
VTECK_12,NA,34,20,NA,11,temperate,0.55
VTECK_12,NA,34,20,NA,9,temperate,0.45
VTECK_12,NA,34,20,NA,12,temperate,0.6
VTECK_12,NA,34,20,NA,10,temperate,0.5
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,3,temperate,0.15
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,22,NA,1,temperate,0.045454545
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,16,temperate,0.8
VTECK_14,NA,30,20,NA,18,temperate,0.9
VTECK_14,NA,30,19,NA,18,temperate,0.947368421
VTECK_14,NA,30,20,NA,19,temperate,0.95
VTECK_14,NA,30,20,NA,20,temperate,1
VTECK_14,NA,30,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,20,temperate,1
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,20,temperate,1
VTECK_14,NA,34,22,NA,22,temperate,1
VTECK_14,NA,34,20,NA,17,temperate,0.85
VTECK_14,NA,34,20,NA,19,temperate,0.95
VTECK_14,NA,34,20,NA,20,temperate,1
VTECK_14,NA,34,20,NA,15,temperate,0.75
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,36,20,NA,2,temperate,0.1
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,36,20,NA,2,temperate,0.1
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,38,20,NA,3,temperate,0.15
VTECK_14,NA,38,20,NA,3,temperate,0.15
VTECK_14,NA,38,20,NA,1,temperate,0.05
VTECK_14,NA,38,20,NA,1,temperate,0.05
VTECK_14,NA,38,20,NA,0,temperate,0
VTECK_14,NA,40,11,NA,0,temperate,0
VTECK_14,NA,40,20,NA,4,temperate,0.2
VTECK_14,NA,40,21,NA,1,temperate,0.047619048
VTECK_14,NA,40,12,NA,0,temperate,0
VTECK_14,NA,40,20,NA,0,temperate,0
VTECK_2,NA,28,16,NA,15,temperate,0.9375
VTECK_2,NA,28,15,NA,15,temperate,1
VTECK_2,NA,28,20,NA,20,temperate,1
VTECK_2,NA,28,20,NA,19,temperate,0.95
VTECK_2,NA,28,20,NA,18,temperate,0.9
VTECK_2,NA,30,20,NA,20,temperate,1
VTECK_2,NA,30,15,NA,12,temperate,0.8
VTECK_2,NA,30,11,NA,10,temperate,0.909090909
VTECK_2,NA,30,20,NA,19,temperate,0.95
VTECK_2,NA,30,20,NA,20,temperate,1
VTECK_2,NA,32,20,NA,19,temperate,0.95
VTECK_2,NA,32,20,NA,18,temperate,0.9
VTECK_2,NA,32,20,NA,20,temperate,1
VTECK_2,NA,32,20,NA,20,temperate,1
VTECK_2,NA,32,20,NA,20,temperate,1
VTECK_2,NA,34,20,NA,18,temperate,0.9
VTECK_2,NA,34,20,NA,18,temperate,0.9
VTECK_2,NA,34,20,NA,20,temperate,1
VTECK_2,NA,34,20,NA,20,temperate,1
VTECK_2,NA,34,20,NA,18,temperate,0.9
VTECK_2,NA,36,20,NA,2,temperate,0.1
VTECK_2,NA,36,19,NA,0,temperate,0
VTECK_2,NA,36,19,NA,1,temperate,0.052631579
VTECK_2,NA,36,20,NA,0,temperate,0
VTECK_2,NA,36,11,NA,1,temperate,0.090909091
VTECK_2,NA,38,16,NA,2,temperate,0.125
VTECK_2,NA,38,11,NA,0,temperate,0
VTECK_2,NA,38,20,NA,3,temperate,0.15
VTECK_2,NA,38,10,NA,2,temperate,0.2
VTECK_2,NA,38,15,NA,0,temperate,0
VTECK_2,NA,40,11,NA,0,temperate,0
VTECK_2,NA,40,10,NA,1,temperate,0.1
VTECK_2,NA,40,12,NA,0,temperate,0
VTECK_2,NA,40,12,NA,2,temperate,0.166666667
VTECK_2,NA,40,12,NA,2,temperate,0.166666667
VTECK_4,NA,32,20,NA,19,temperate,0.95
VTECK_4,NA,32,20,NA,20,temperate,1
VTECK_4,NA,32,20,NA,18,temperate,0.9
VTECK_4,NA,32,20,NA,20,temperate,1
VTECK_4,NA,32,20,NA,19,temperate,0.95
VTECK_4,NA,34,20,NA,18,temperate,0.9
VTECK_4,NA,34,20,NA,17,temperate,0.85
VTECK_4,NA,34,20,NA,19,temperate,0.95
VTECK_4,NA,34,20,NA,16,temperate,0.8
VTECK_4,NA,34,20,NA,20,temperate,1
VTECK_4,NA,36,20,NA,1,temperate,0.05
VTECK_4,NA,36,20,NA,4,temperate,0.2
VTECK_4,NA,36,20,NA,2,temperate,0.1
VTECK_4,NA,36,20,NA,0,temperate,0
VTECK_4,NA,36,20,NA,0,temperate,0
VTECK_4,NA,38,20,NA,0,temperate,0
VTECK_4,NA,38,20,NA,0,temperate,0
VTECK_4,NA,38,20,NA,2,temperate,0.1
VTECK_4,NA,38,20,NA,0,temperate,0
VTECK_4,NA,38,20,NA,0,temperate,0
VTECK_5,NA,28,10,NA,10,temperate,1
VTECK_5,NA,28,20,NA,16,temperate,0.8
VTECK_5,NA,28,19,NA,15,temperate,0.789473684
VTECK_5,NA,28,14,NA,14,temperate,1
VTECK_5,NA,28,18,NA,14,temperate,0.777777778
VTECK_5,NA,30,20,NA,17,temperate,0.85
VTECK_5,NA,30,20,NA,19,temperate,0.95
VTECK_5,NA,30,20,NA,15,temperate,0.75
VTECK_5,NA,30,20,NA,17,temperate,0.85
VTECK_5,NA,30,20,NA,18,temperate,0.9
VTECK_5,NA,32,20,NA,17,temperate,0.85
VTECK_5,NA,32,20,NA,17,temperate,0.85
VTECK_5,NA,32,12,NA,11,temperate,0.916666667
VTECK_5,NA,32,12,NA,9,temperate,0.75
VTECK_5,NA,32,20,NA,14,temperate,0.7
VTECK_5,NA,34,20,NA,10,temperate,0.5
VTECK_5,NA,34,20,NA,16,temperate,0.8
VTECK_5,NA,34,20,NA,13,temperate,0.65
VTECK_5,NA,34,20,NA,14,temperate,0.7
VTECK_5,NA,34,15,NA,10,temperate,0.666666667
VTECK_5,NA,36,20,NA,2,temperate,0.1
VTECK_5,NA,36,20,NA,1,temperate,0.05
VTECK_5,NA,36,20,NA,3,temperate,0.15
VTECK_5,NA,36,20,NA,3,temperate,0.15
VTECK_5,NA,36,20,NA,0,temperate,0
VTECK_5,NA,38,11,NA,3,temperate,0.272727273
VTECK_5,NA,38,20,NA,1,temperate,0.05
VTECK_5,NA,38,20,NA,1,temperate,0.05
VTECK_5,NA,38,12,NA,0,temperate,0
VTECK_5,NA,38,20,NA,2,temperate,0.1
VTECK_5,NA,40,20,NA,0,temperate,0
VTECK_5,NA,40,20,NA,0,temperate,0
VTECK_5,NA,40,20,NA,0,temperate,0
VTECK_5,NA,40,20,NA,0,temperate,0
VTECK_5,NA,40,14,NA,0,temperate,0
VTECK_8,NA,32,20,NA,16,temperate,0.8
VTECK_8,NA,32,20,NA,18,temperate,0.9
VTECK_8,NA,32,20,NA,17,temperate,0.85
VTECK_8,NA,32,20,NA,13,temperate,0.65
VTECK_8,NA,32,20,NA,15,temperate,0.75
VTECK_8,NA,34,20,NA,11,temperate,0.55
VTECK_8,NA,34,20,NA,12,temperate,0.6
VTECK_8,NA,34,20,NA,15,temperate,0.75
VTECK_8,NA,34,20,NA,13,temperate,0.65
VTECK_8,NA,34,20,NA,16,temperate,0.8
VTECK_8,NA,36,20,NA,0,temperate,0
VTECK_8,NA,36,20,NA,0,temperate,0
VTECK_8,NA,36,20,NA,1,temperate,0.05
VTECK_8,NA,36,20,NA,3,temperate,0.15
VTECK_8,NA,36,20,NA,2,temperate,0.1
VTECK_8,NA,38,20,NA,0,temperate,0
VTECK_8,NA,38,20,NA,1,temperate,0.05
VTECK_8,NA,38,20,NA,3,temperate,0.15
VTECK_8,NA,38,20,NA,1,temperate,0.05
VTECK_8,NA,38,20,NA,0,temperate,0
VTECK_9,NA,28,11,NA,10,temperate,0.909090909
VTECK_9,NA,28,20,NA,20,temperate,1
VTECK_9,NA,28,20,NA,18,temperate,0.9
VTECK_9,NA,28,20,NA,19,temperate,0.95
VTECK_9,NA,28,20,NA,20,temperate,1
VTECK_9,NA,30,20,NA,19,temperate,0.95
VTECK_9,NA,30,20,NA,20,temperate,1
VTECK_9,NA,30,20,NA,20,temperate,1
VTECK_9,NA,30,20,NA,18,temperate,0.9
VTECK_9,NA,30,20,NA,20,temperate,1
VTECK_9,NA,32,20,NA,20,temperate,1
VTECK_9,NA,32,20,NA,19,temperate,0.95
VTECK_9,NA,32,20,NA,19,temperate,0.95
VTECK_9,NA,32,8,NA,7,temperate,0.875
VTECK_9,NA,32,20,NA,20,temperate,1
VTECK_9,NA,32,20,NA,18,temperate,0.9
VTECK_9,NA,34,7,NA,7,temperate,1
VTECK_9,NA,34,20,NA,20,temperate,1
VTECK_9,NA,34,20,NA,19,temperate,0.95
VTECK_9,NA,34,20,NA,16,temperate,0.8
VTECK_9,NA,34,20,NA,17,temperate,0.85
VTECK_9,NA,36,9,NA,2,temperate,0.222222222
VTECK_9,NA,36,12,NA,1,temperate,0.083333333
VTECK_9,NA,36,20,NA,4,temperate,0.2
VTECK_9,NA,36,20,NA,1,temperate,0.05
VTECK_9,NA,36,20,NA,2,temperate,0.1
VTECK_9,NA,38,20,NA,5,temperate,0.25
VTECK_9,NA,38,20,NA,4,temperate,0.2
VTECK_9,NA,38,20,NA,0,temperate,0
VTECK_9,NA,38,20,NA,1,temperate,0.05
VTECK_9,NA,38,20,NA,2,temperate,0.1
VTECK_9,NA,40,8,NA,0,temperate,0
VTECK_9,NA,40,16,NA,0,temperate,0
VTECK_9,NA,40,20,NA,0,temperate,0
VTECK_9,NA,40,20,NA,0,temperate,0
VTECK_9,NA,40,20,NA,0,temperate,0
BEA_16,NA,28,20,NA,18,temperate,0.9
BEA_16,NA,28,20,NA,18,temperate,0.9
BEA_16,NA,28,12,NA,11,temperate,0.916666667
BEA_16,NA,28,20,NA,17,temperate,0.85
BEA_16,NA,28,20,NA,15,temperate,0.75
BEA_16,NA,30,15,NA,14,temperate,0.933333333
BEA_16,NA,30,7,NA,5,temperate,0.714285714
BEA_16,NA,30,14,NA,13,temperate,0.928571429
BEA_16,NA,30,9,NA,5,temperate,0.555555556
BEA_16,NA,30,20,NA,11,temperate,0.55
BEA_16,NA,32,9,NA,9,temperate,1
BEA_16,NA,32,20,NA,15,temperate,0.75
BEA_16,NA,32,15,NA,6,temperate,0.4
BEA_16,NA,32,11,NA,7,temperate,0.636363636
BEA_16,NA,32,10,NA,7,temperate,0.7
BEA_16,NA,32,15,NA,15,temperate,1
BEA_16,NA,34,8,NA,8,temperate,1
BEA_16,NA,34,14,NA,7,temperate,0.5
BEA_16,NA,34,12,NA,6,temperate,0.5
BEA_16,NA,34,15,NA,12,temperate,0.8
BEA_16,NA,34,20,NA,18,temperate,0.9
BEA_16,NA,36,20,NA,3,temperate,0.15
BEA_16,NA,36,12,NA,2,temperate,0.166666667
BEA_16,NA,36,20,NA,2,temperate,0.1
BEA_16,NA,36,15,NA,1,temperate,0.066666667
BEA_16,NA,36,17,NA,2,temperate,0.117647059
BEA_16,NA,36,8,NA,0,temperate,0
BEA_16,NA,38,15,NA,1,temperate,0.066666667
BEA_16,NA,38,13,NA,0,temperate,0
BEA_16,NA,38,20,NA,4,temperate,0.2
BEA_16,NA,38,10,NA,1,temperate,0.1
BEA_16,NA,38,9,NA,0,temperate,0
